# %ECSV 0.9
# ---
# datatype:
# - name: Filename
#   datatype: string
# - name: EL
#   datatype: float64
# - name: PA
#   datatype: float64
# - name: RotAng
#   datatype: float64
# - name: GuiderCoord
#   datatype: string
# - name: ImageCoord
#   datatype: string
# - name: OffsetDistance
#   datatype: float64
# - name: OffsetAngle
#   datatype: float64
# schema: astropy-2.0
Filename EL PA RotAng GuiderCoord ImageCoord OffsetDistance OffsetAngle
m191019_0119.fits 61.41130559 252.22004928 54.43688789 "01:04:03.25 +47:22:21.51" "01:04:38.58 +47:23:27.73" 364.874155182 7.37810983368
m191019_0120.fits 61.47598853 207.22011283 10.66061035 "01:04:03.25 +47:22:21.51" "01:04:23.64 +47:27:22.06" 364.933916199 7.36859776615
m191019_0121.fits 61.55198209 162.22019101 -33.44509968 "01:04:03.25 +47:22:21.51" "01:03:56.68 +47:28:20.18" 364.812253151 7.23659267075
m191019_0122.fits 61.67681369 117.22017797 -77.58810315 "01:04:03.25 +47:22:21.51" "01:03:33.60 +47:25:47.89" 364.938945164 7.17170619165
m191019_0123.fits 61.81441144 72.22025404 -121.88147911 "01:04:03.25 +47:22:21.51" "01:03:27.92 +47:21:14.47" 365.113662702 7.14472438467
m191019_0124.fits 61.92791944 27.21996056 -166.24578842 "01:04:03.25 +47:22:21.51" "01:03:42.91 +47:17:20.36" 365.275486645 7.21667342008
m191019_0125.fits 61.99655973 -17.78011114 -210.49132237 "01:04:03.25 +47:22:21.51" "01:04:09.68 +47:16:22.32" 365.097442638 7.47278007725
m191019_0126.fits 61.99384807 -62.77992915 -254.88389859 "01:04:03.25 +47:22:21.51" "01:04:32.83 +47:18:54.18" 365.19539635 7.41620967767
m191019_0127.fits 61.96826512 -107.77985298 -299.13336643 "01:04:03.25 +47:22:21.51" "01:04:38.58 +47:23:27.62" 364.917505294 7.39714334457
m191019_0128.fits 61.95605809 -152.77993704 -343.34177288 "01:04:03.25 +47:22:21.51" "01:04:23.64 +47:27:22.16" 365.008658448 7.35609397076
m191019_0129.fits 61.99710665 -197.7798279 -387.4287661 "01:04:03.25 +47:22:21.51" "01:03:56.69 +47:28:20.15" 364.763023565 7.25939555621
m191019_0130.fits 74.96247342 -202.78152068 -404.07071862 "01:13:07.03 +33:47:03.69" "01:12:59.16 +33:52:55.58" 365.275807224 7.21666140585
m191019_0131.fits 75.05412547 -157.78003068 -358.06144699 "01:13:07.03 +33:47:03.69" "01:13:21.47 +33:52:21.52" 365.240419911 7.3149136395
m191019_0132.fits 75.251168 -112.78001826 -311.32526383 "01:13:07.03 +33:47:03.69" "01:13:35.25 +33:48:41.26" 365.04237705 7.31020689203
m191019_0133.fits 75.41423224 -67.77964908 -265.14862522 "01:13:07.03 +33:47:03.69" "01:13:32.47 +33:44:03.85" 364.763234327 7.34941735544
m191019_0134.fits 75.57729597 -22.7801836 -218.39765915 "01:13:07.03 +33:47:03.69" "01:13:14.84 +33:41:12.06" 364.903409665 7.28819551871
